additional chief,achief,
district,distict,
additional,addl,
court ,courts ,
and,&,
cjm,c j m,
dj,d j,
cjm,c.j.m,
chief,cheif,
sessions,sesssions,
district,diistrict,
civil judge,civil juge,
judge,judeges,
judicial,judical,
sessions,sessionsal,
principal,prl,
magistrate,magristrate,
magistrate,magistate,
magistrate,magisrate,
magistrate,magistratre,
magistrate,magistarte,
judicial first,judicialist,
juvenile,juveline,
civil,civill,
senior division,serniordivn,
sernior,sernior,
district,disrtrict,
magistrate,megistrate,
junior,juniour,
district,distirct,
district ,dist ,
additional sessions,additionalsessions,
senior,sernior,
senior division ,sr div ,
division ,div ,
sessions,sessionss,
sessions,sessins,
sessions ,session ,
additional chief judicial magistrate,acjm,
junior division ,j d ,
junior division , jd ,
junior division, junior dn,
junior division,juniordn,
junior division,juniordi,
jmfc ,j m f c ,
and jmfc,andjmfc,
vvvjudicial magistrate ,jm ,
judicial magistrate , jm,
civil judge junior division,cjjd,
civil judge junior division, cj junior division,
civil judge junior division, cjjunior division,
civil judge junior division, c j j d,
civil judge junior division, cj jd,
division,divion,
division,divison,
additional sessions judge,asj,
additional district judge,adj,
civil judge senior division,cjsd,
civil judge senior division,cj sd,
civil judge senior division,sr civil judge,
civil judge senior division,senior civil court,
senior division, seniordn,
senior devision, senior div ,
sernior division, sr divn,
 ,jt,
tirora,t i r o r a,
and,andamp,
additional sessions,additionalsessionss,
additional sessions,a s j,
additional district judge,adj,
additional sessions,additionalsessins,
first class,f c,
additional district and sessions,additionaldist sessionss,
jmfc,judicial magistrate first class,
jmfc,jfcm,
jmfc,judicial first class magistrate,
sub divisional judicial magistrate,sdjm,
special,spl,
principal,prl,
munsiff first,munsiffirst,
munsiff first,munsifirst,
class court,classourt,
mact,membermact,
motor accidents claims tribunal,mact,
motor accidents claims tribunal,mototr accidents claims tribunal,
motor accidents claims tribunal,motor accident claims tribunal,
motor accidents claims tribunal,motor accident claim tribunal,
motor accidents claims tribunal,motor accidents claim tribunal,
motor accidents claims tribunal,motor vechicle court,
assistant sessions,asstt sessions,
sub judge,subjudge,
civil judge senior division,scj,
subdivisional judicial magistrate,sdjudicial magistrate,
subdivisional judicial magistrate,s djudicial magistrate,
subdivisional judicial magistrate,sub judge judicial magistrate,
subdivisional judicial magistrate ,sub judge ,
subdivisional judicial magistrate ,sub divisional judicial magistrate ,
subdivisional judicial magistrate ,sub divisional judicial magistrates ,
junior , jr ,
junior civil,j civil,
jmfc,j first class m,
civil judge senior division ,civil judge sd ,
additional district court,additional dist court,
additional district,additionaldistrict,
additional district court,add district judge court,
additional district and sessions court,additionaldistriict and sessionscourt,
civil judge senior division,senior civil judge,
civil judge senior division,seniorcivil court,
civil judge senior division,seniorcivil judge,
civil judge senior division,sr civil court,
civil judge senior division,snr civil judge,
civil judge senior division,senior civil judge court,
civil judge junior division,junior civil judge,
civil judge junior division,juniorcivil court,
civil judge junior division,junior civil court,
civil judge senior division,civil judge senior divn,
small cause,small causes,
special,spcl,
principal district judge,principal district munsiff,
principal district and sessions,principal dist and sessions,
principal ,pr ,
jmfc,junior magistrate first class,
jmfc,judl first class magistrate court,
jmfc,judl i class magistrate,
fast track court,ftc court,
wakf tribunal,wakf board tribunal,
wac,wa cases,
wac ,wa ,
sc st,special court for trial of sc and st,
sc st,scst,
civil judge junior division,civil judge jd,
civil judge junior division,junior court,
ndps,ndps court,
munsiff judicial magistrate,mjudicial magistrate,
munsiff judicial magistrate,munsif magistrate court complex,
labour,labor,
juvenile court,juvenile justice board,
juvenile court,juvenile justice court,
jmfc,judicialfirst class magistrate court,
jmfc,juditial first class magistrate court,
civil judge junior division,junior civil judeges court,
civil judge junior division,junior jugdes court,
civil judge junior division,civil judge junior divn,
industrial court,industrial tribunal,
jmfc,jcfm,
jmfc,jfmc,
civil judge senior division,civil court senior division,
civil judge senior division,civil judge s d,
civil judge sernior division,civil judge sernior division,
civil judge junior division,civil court junior division,
chief judicial magistrate,chief judicial majistrate,
munsiff,munsiffs,
